"Variable","Shapiro_P","Test","Statistic","P_value"
"Mg","2.36e-04","Kruskal-Wallis",22.4227,"2.19e-06"
"K","5.83e-04","Kruskal-Wallis",22.4227,"2.19e-06"
"Ca","4.58e-04","Kruskal-Wallis",22.4227,"2.19e-06"
"Al","5.32e-05","Kruskal-Wallis",25.2907,"4.93e-07"
"V","6.97e-05","Kruskal-Wallis",0.004,"0.9497"
"B","0.0012","Kruskal-Wallis",22.4227,"2.19e-06"
"Fe","4.12e-05","Kruskal-Wallis",7.25,"0.0071"
"Cu","2.21e-05","Kruskal-Wallis",25.2907,"4.93e-07"
