"Variable","Shapiro_P","Test","Statistic","P_value"
"shannon","0.4221","ANOVA",0.2192,0.8046
"number_of_species","0.0028","Kruskal-Wallis",0.0668,0.9672
"evenness","0.0493","Kruskal-Wallis",0.0863,0.9578
"margalef","0.0365","Kruskal-Wallis",0.1627,0.9219
