"Variable","Mean.Serinhaem","SD.Serinhaem","Mean.Sorojo","SD.Sorojo","Mean.Marau","SD.Marau"
"Mg",764.615,521.571,474.905,413.394,628.4,630.242
"K",778.8,534.202,293.22,262.036,672.485,686.441
"Ca",463.685,366.592,218.255,202.673,403.955,418.206
"P",0.001,0,0.001,0,0.001,0
"Al",0.121,0.128,0.844,0.88,0.105,0.11
"V",0.034,0.029,0.037,0.021,0.009,0.008
"B",3.578,2.257,1.553,1.199,2.749,2.678
"Fe",0.001,0,0.523,0.546,0.001,0
"Cu",0.022,0.022,0.022,0.022,0.029,0.03
