"Season","Variable","Mean","SD","N"
"Dry","temperature",27.98,1.111,15
"Dry","salinity",31.183,4.542,15
"Dry","pH",7.993,0.302,15
"Dry","dissolved_o2",3.829,0.538,15
"Dry","suspended_solids",24.029,3.91,15
"Dry","sediment_particle_size",164.215,158.875,15
"Wet","temperature",27.273,0.806,15
"Wet","salinity",28.657,4.713,15
"Wet","pH",8.11,0.412,15
"Wet","dissolved_o2",4.541,0.631,15
"Wet","suspended_solids",26.551,5.074,15
"Wet","sediment_particle_size",255.297,130.316,15
