"Environmental_Variable","Serinhaem","Sorojo","Marau"
"temperature","27.798 ± 0.868","27.66 ± 1.202","27.45 ± 0.966"
"salinity","30.185 ± 2.982","27.19 ± 5.707","32.984 ± 2.19"
"pH","8.162 ± 0.248","7.805 ± 0.382","8.259 ± 0.224"
"dissolved_o2","3.641 ± 0.52","4.479 ± 0.42","4.267 ± 0.824"
"suspended_solids","23.294 ± 2.069","26.692 ± 6.853","25.206 ± 1.488"
"sediment_particle_size","211.825 ± 115.968","186.402 ± 125.966","236.126 ± 203.069"
