"","dbRDA1","dbRDA2","dbRDA3","dbRDA4","dbRDA5","MDS1","MDS2","MDS3","MDS4","MDS5","MDS6","MDS7","MDS8","MDS9","MDS10","MDS11","MDS12","MDS13","MDS14","MDS15","MDS16","MDS17","MDS18","MDS19","MDS20","MDS21","MDS22","iMDS1","iMDS2"
"Eigenvalue",0.913210660145643,0.565704730358055,0.316090307462455,0.214198331286699,0.0363262762306099,1.33743921973273,0.988703579477812,0.825991717086932,0.644853285593866,0.619802785542738,0.509195033099933,0.42281269998526,0.385826309543664,0.367250059970222,0.333573147608237,0.282276551180096,0.267607436912405,0.228780699900139,0.173880637525316,0.148326619908091,0.12285946924881,0.104143735394099,0.0958972153055962,0.0757679006014405,0.0502537647493923,0.0218066398409269,0.0049540209630921,-0.0183124830053194,-0.035336652289784
"Proportion Explained",0.0912856134267277,0.0565485112940981,0.0315967595147776,0.0214115175389754,0.00363121736740472,0.133692000019793,0.0988319745801471,0.0825671051273661,0.0644602941190904,0.0619562166223946,0.0508997353830245,0.0422648555992654,0.0385676524376608,0.0367107486459232,0.0333443648119985,0.0282166966013588,0.0267503546577164,0.0228691882848253,0.0173813133729708,0.0148269036671821,0.012281177284846,0.0104103304800285,0.00958599861689109,0.00757384860504667,0.00502342552748904,0.00217981740854543,0.000495209771721901,-0.00183053737484898,-0.00353229339241995
"Cumulative Proportion",0.0912856134267277,0.147834124720826,0.179430884235603,0.200842401774579,0.204473619141983,0.338165619161776,0.436997593741923,0.51956469886929,0.58402499298838,0.645981209610775,0.696880944993799,0.739145800593064,0.777713453030725,0.814424201676648,0.847768566488647,0.875985263090006,0.902735617747722,0.925604806032547,0.942986119405518,0.9578130230727,0.970094200357546,0.980504530837575,0.990090529454466,0.997664378059512,1.002687803587,1.00486762099555,1.00536283076727,1.00353229339242,1
